,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
rae1,0.5133423566130161,1.2188339594067557,0.24325559957761733,1.3447118213290237,2.549216722898623,3.2001419608105897,4.805140062391182,1.2808841495975662,0.2847806679586174,0.2492727611269687,1.2814894278940407,1.251834773114142,0.1925094230702986,0.0021020275914069393,1.2864723097538528
2,0.5183736709551965,1.3073055401603146,0.10255692360417726,1.410062750608132,2.6986846901591046,3.232036428359612,4.1885244854815005,1.8918285145367888,0.4143123093609263,0.32287779881008094,1.9071166365794041,2.011783753017435,0.25319466716483857,0.10032682482042428,2.0659095394568774
3,0.44442194469774043,1.25239091756151,0.15739362713407262,1.3381952881332013,2.759165542542683,3.322596256577528,4.317080317819768,1.8549060994537356,0.5225461623027653,0.2508527807903706,1.8703021237096238,1.9579019877112824,0.35999576925752447,0.0752539160421461,2.020473059378335
4,0.40769762004021237,1.2847462038122526,0.142546787969841,1.355400215566224,2.5453525174952563,3.342412048817997,4.482804978895538,1.3344240238478107,0.36065587887475187,0.22628385593535577,1.34426792029849,1.5844171213376221,0.3429095600756219,0.02382267710666353,1.6348841789512158
5,,,,,,,,,,,,,,,
média,0.47095889807654134,1.2658191552352083,0.16143823457142703,1.3620925189091453,2.638104868273917,3.274296673641432,4.448387461146997,1.5905106968589755,0.3955737546242652,0.262321799165694,1.6007940271203898,1.7014844087951202,0.2871523548920709,0.05037636139016021,1.7519347718850704
desvio-padrão,0.046772634729256746,0.033418855067354036,0.05131845574888488,0.028368540411953334,0.09331358775290506,0.05970218549925395,0.2308827169976931,0.28378968402071725,0.08655560618044084,0.0362890418082156,0.289062807085775,0.30737810692318257,0.06805409254023347,0.0392092175868818,0.31664219218267786
rne1,0.5727697179024985,1.4685707479151466,0.31956971562388176,1.6083811720242467,3.0346814566495217,3.687673022392824,4.297432692506795,2.3455716730484544,0.3036330742520885,0.5732270521606259,2.418075066708198,1.806218462978095,0.07846658987478354,0.26692516796851334,1.8618159043301867
2,0.5448759098573255,1.496378420467296,0.40035445814279497,1.6420480585347859,3.026816697759974,3.688336801412493,3.907412830096236,2.387349262318275,0.39126797967767957,0.5539497349032864,2.44421273101653,2.108135188312089,0.13342987875698414,0.2949161416930096,2.1660313386598355
3,0.5089730785121117,1.554185866906729,0.4119034684582301,1.686479104783287,3.2123411519681655,3.8183267520912967,3.6719144572893785,2.7265038359623643,0.43398696908785017,0.5263271432481548,2.7785123636161875,2.163097857607108,0.19851878163269218,0.3438305768136121,2.2277648105131664
4,0.46625485453682924,1.6208693629028896,0.4291952947083254,1.7403504480351495,3.2228712000650916,3.7992136450557323,3.2966353430248945,2.7610715838305326,0.4135578533152667,0.2796539090604807,2.7768951377484896,2.123012207328803,0.24628273073752635,0.3475051497867116,2.1885720542176395
5,0.5262829481688069,1.6903428360532637,0.41716898396089236,1.8188629981691322,3.233534218967346,3.813709290298564,3.342583760852065,2.9538290983534607,0.36661358244259307,0.3747878050432551,2.975126492069168,2.0711748525792504,0.1247488002133819,0.3141233921336432,2.138247001389254
média,0.5238313017955143,1.566069446849065,0.3956383841788249,1.6992243563093203,3.1460489450820193,3.7614519022501822,3.7031958167538734,2.6348650907026174,0.3818118917550956,0.4615891288831606,2.6785643582317142,2.0543277137610696,0.15628935624307363,0.313460085679098,2.1164862218220164
desvio-padrão,0.035720214858107585,0.08117999875338955,0.03914810245013684,0.07441614695940336,0.09441295989697424,0.06030037056820299,0.37178839415814885,0.23281689952231893,0.04508298677103238,0.11473396358037956,0.2146546069311178,0.12750354863842067,0.059086169570295874,0.03030263857219642,0.1306633171739493
rad1,0.5106775702295508,1.0820052701551595,0.23361282953018248,1.2190578081043555,2.5664374907460115,3.2250688873660462,5.1635860408891645,2.141244803079436,0.36561805901545436,0.1885047929131411,2.155451611999111,2.0862029099773935,0.2827795381154372,0.02813591951985248,2.124424749976309
2,0.5308847916138596,1.176193376017504,0.3558914729340706,1.338629246752635,2.67725849350527,3.2665271997057332,5.043654767145435,1.3291403574663043,0.2682817755018634,0.17996638960335545,1.3292228577733185,1.4000052835269563,0.1700479839250413,0.06169873174431107,1.4336466243326722
3,0.5237564940113061,1.084961838704384,0.2460173402475505,1.2296290449425356,2.3421505617953056,3.0739150909001247,4.490477386526885,1.059466636363689,0.19000160702457025,0.09326716755192732,1.0632140633714093,1.152265884686399,0.16702480496646377,0.01834141707341296,1.1844505146006234
4,0.5460285123533535,1.1279303282981326,0.2732790742195363,1.282597136361935,2.4086331199285165,3.109851209284989,3.7854908304371317,2.152461134464363,0.3145070680090693,0.21256736289234784,2.156214664871541,2.455811994628361,0.18202810307959494,0.06222181149068917,2.483667611037122
5,,,,,,,,,,,,,,,
