;Deslocamento Vertical;Deslocamento Horizontal;Deslocamento Antero-Posterior;Deslocamento Tridimensional;velocidade média do salto;velocidade pico do salto;aceleração;força pico vertical normalizada;força pico horizontal normalizada;força pico antero-posterior normalizada;força pico tridimensional normalizada;impulso vertical normalizado;impulso horizontal normalizado;impulso antero-posterior normalizado;impulso tridimensional normalizado
rae1;0,447991462355366;1,64582244085224;0,19956878869033;1,71733967478057;2,98667769527056;4,38725499604021;4,80232825852524;1,84457460022304;0,537895963342736;0,125621988110392;1,90790238406524;2,38860148748433;0,477098675353814;0,0284350003448749;2,46113430409947
2;0,529471599831046;1,61353090175909;0,204017368978495;1,71039329769619;2,86258292501455;3,88818873387694;4,2282015584749;1,86337431480782;0,411093801847878;0,228349650495854;1,89297845848971;2,30324818886912;0,289097723712689;0,159242839263418;2,35603890931564
3;0,461448757633787;1,68177286655818;0,302432356613428;1,76996052524903;3,01269876638133;4,07772825704314;4,52484714224824;1,65540091189567;0,476322625210977;0,231836988675317;1,70300209654962;2,06137105834569;0,401070292015404;0,0865433575695606;2,124083526277
4;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;
média;0,479637273273399;1,64704206972317;0,235339504760751;1,73256449924193;2,95398646222215;4,11772399565343;4,51845898641613;1,78778327564218;0,475104130133864;0,195269542427188;1,83462764636819;2,25107357823305;0,389088897027302;0,0914070657259514;2,31375224656404
desvio-padrão;0,0356638918856149;0,027873010372606;0,0474765594368352;0,0265946123552921;0,0654992569728006;0,205696423300035;0,234429766780121;0,0939225744623429;0,0517739354478146;0,0492688322615674;0,0932725215427962;0,138591921204748;0,0772172468812844;0,0535127051792864;0,140811761091854
rne1;0,492097810328324;1,68336543120306;0,491066873624307;1,82127046433817;3,08689909209859;4,31700218563998;5,16306313731215;1,98161097394857;0,50993210036932;0,124943219942453;2,03906581871687;2,21668209254429;0,433770297229319;0,135490667834324;2,28428405857669
2;0,492771491298735;1,69261064244631;0,611111819437949;1,86580068212444;3,05868964282696;4,40662497862011;4,47900477776128;1,86039976671634;0,444505253006287;0,220250529618991;1,90873147973797;2,33159024925528;0,391813888674418;0,0550961212849852;2,38335328663227
3;0,484261677386619;1,65828259962923;0,589669432173844;1,82540970515077;3,09391475449283;4,17658897074302;4,3637930203604;1,65342421577339;0,463025555328821;0,140687276926805;1,70145086518276;2,14250643928723;0,388401228520376;0,0213298977606539;2,20010914623133
4;0,44438670558447;1,7516680103481;0,719127570552117;1,94498453086529;3,01547989281441;4,25718392190184;4,4755442654807;1,50077441775334;0,365176340692033;0,324142561686175;1,53574281142235;2,14494038635219;0,379672690407369;0,0152513895337482;2,19364718133977
5;;;;;;;;;;;;;;;
média;0,478379421149537;1,69648167090668;0,602743923947054;1,86436634561967;3,0637458455582;4,28935001422624;4,62035130022863;1,74905234354791;0,445659812349115;0,202505897043606;1,79624774376499;2,20892979185975;0,39841452620787;0,0567920191034279;2,26534841819502
desvio-padrão;0,0199087388774777;0,0342480718899143;0,0810214181188463;0,0496895963295115;0,0308277605089603;0,0840651091124094;0,316743668368292;0,18524877359823;0,0522288671470142;0,078974459230259;0,192654143704172;0,0768316207016475;0,0208873257031654;0,0479049562588636;0,0769430591809327
rad1;0,522854034059628;1,39329012879363;0,190064753600633;1,50025275686714;3,0461984911008;3,91971118965191;5,8942817389533;1,80265571266449;0,394005820586858;0,178030441596335;1,82841975726747;1,83527065029585;0,308284765678883;0,0298808548796394;1,88297449733126
2;0,485658243721623;1,55243596290307;0,275295939574157;1,6497603471279;3,04103289793162;4,16661795086009;4,92626794011503;1,82771160878657;0,443711346919415;0,113841949245137;1,868847998309;2,15912046527155;0,377504602746902;0,14202450180861;2,22020195686123
3;0,432232475166183;1,52735677085605;0,230355280043323;1,60396607604773;3,01214286581734;4,06817155654736;5,31821578967012;1,83500862265346;0,52106235926669;0,125467299989015;1,89337589869091;2,09386701652902;0,465693205476566;0,128764477309816;2,16901786358307
4;0,42994796952164;1,43945124400137;0,346637946174109;1,54176295392018;2,90898670550978;3,89320764123649;4,71147589463594;1,85712746727967;0,47994375654472;0,18439385379314;1,90788650538061;2,22587223245912;0,38254412146685;0,251816145921005;2,29669700923225
5;0,427555334672747;1,39025909036765;0,364290396830786;1,49944369543513;2,86974869939738;3,83323664657302;4,10544862096281;1,81718290352581;0,487944186977537;0,204767720144755;1,87495512260647;2,28109464916576;0,415869995222492;0,265810403783632;2,35743139415614
média;0,459649611428364;1,46055863938436;0,281328863244602;1,55903716587962;2,97562193195138;3,97618899697378;4,99113799686744;1,827937262982;0,465333494059044;0,161300252953676;1,87469705645089;2,11904500274426;0,389979338118338;0,16365927674054;2,18526454423279
desvio-padrão;0,0383018993971783;0,0675515124833976;0,0665007254540313;0,0592531677568166;0,0724469717195106;0,122666214051732;0,598249644829223;0,0182040441008526;0,0433256595365133;0,0353240015423462;0,0269306708668246;0,155203093853204;0,0515515673300658;0,0869354507771535;0,164269576219955
rnd1;0,472693043116338;1,47504316773389;0,436026548202929;1,60913337247935;2,91245859272281;3,99966820632505;4,36101273928824;2,00992274190297;0,52784028454667;0,185413128019068;2,06316144044316;2,49624667574695;0,4586663480313;0,104696971326021;2,59394946503556
2;0,456220450278886;1,51746380885679;0,540565825732974;1,67422965043425;2,93724500076185;3,93490504579318;3,86167935023159;1,88226146424926;0,485605207324879;0,19741021930233;1,91889253410683;2,47454591486375;0,476900670756308;0,0372459261503928;2,56993665096506
3;0,417087820208508;1,51489538578796;0,558289781511198;1,66750045270991;2,93832678891614;4,1603405381136;4,49319222424374;1,98615615967048;0,511553941773714;0,260523655144167;2,03603298804516;2,31580806947228;0,496142727638986;0,0721657252983151;2,3924651132824
