,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
rae1,0.44799146235536647,1.6458224408522402,0.19956878869033073,1.7173396747805751,2.986677695270565,4.387254996040218,4.185389275841333,1.8445746002230436,0.5378959633427366,0.12562198811039293,1.9079023840652436,2.388601487484337,0.4770986753538141,0.028435000344874957,2.4611343040994758
2,0.5294715998310463,1.6135309017590949,0.20401736897849518,1.7103932976961973,2.862582925014556,3.888188733876948,3.478010187286884,1.863374314807826,0.41109380184787864,0.22834965049585448,1.8929784584897182,2.303248188869124,0.2890977237126891,0.15924283926341887,2.3560389093156457
3,0.4614487576337871,1.681772866558183,0.3024323566134287,1.7699605252490367,3.0126987663813387,4.077728257043148,3.9056820314450467,1.6554009118956754,0.47632262521097746,0.23183698867531735,1.7030020965496222,2.061371058345692,0.40107029201540445,0.08654335756956061,2.1240835262770044
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
média,0.47963727327339994,1.6470420697231727,0.23533950476075152,1.7325644992419365,2.953986462222153,4.117723995653438,3.8563604981910875,1.7877832756421819,0.47510413013386427,0.19526954242718828,1.8346276463681948,2.251073578233051,0.3890888970273026,0.09140706572595148,2.3137522465640417
desvio-padrão,0.035663891885614994,0.027873010372606047,0.04747655943683525,0.026594612355292122,0.06549925697280065,0.20569642330003593,0.29088457500404025,0.09392257446234296,0.051773935447814674,0.049268832261567426,0.09327252154279624,0.13859192120474836,0.07721724688128441,0.05351270517928642,0.14081176109185423
rne1,0.4920978103283248,1.6833654312030688,0.49106687362430756,1.8212704643381712,3.0868990920985953,4.317002185639987,4.143484224246793,1.9816109739485732,0.5099321003693206,0.124943219942453,2.039065818716871,2.2166820925442905,0.43377029722931926,0.13549066783432406,2.2842840585766995
2,0.49277149129873565,1.6926106424463117,0.611111819437949,1.8658006821244482,3.0586896428269643,4.406624978620114,3.9952474461544933,1.8603997667163403,0.4445052530062876,0.22025052961899172,1.908731479737975,2.3315902492552834,0.39181388867441846,0.05509612128498528,2.383353286632274
3,0.48426167738661974,1.658282599629238,0.5896694321738442,1.8254097051507725,3.0939147544928347,4.1765889707430235,3.6802436282361377,1.653424215773391,0.463025555328821,0.14068727692680597,1.7014508651827653,2.142506439287237,0.3884012285203762,0.021329897760653988,2.2001091462313314
4,0.44438670558447013,1.7516680103481062,0.719127570552117,1.9449845308652975,3.015479892814415,4.257183921901841,3.7350019142121114,1.500774417753342,0.36517634069203325,0.3241425616861758,1.535742811422354,2.144940386352198,0.37967269040736906,0.01525138953374826,2.193647181339774
5,,,,,,,,,,,,,,,
média,0.4783794211495376,1.696481670906681,0.6027439239470544,1.8643663456196722,3.0637458455582025,4.289350014226241,3.8884943032123838,1.7490523435479115,0.4456598123491156,0.2025058970436066,1.7962477437649915,2.2089297918597524,0.3984145262078707,0.056792019103427904,2.26534841819502
desvio-padrão,0.019908738877477742,0.03424807188991435,0.08102141811884635,0.04968959632951157,0.030827760508960352,0.08406510911240948,0.18930421975369802,0.18524877359823097,0.05222886714701425,0.07897445923025903,0.19265414370417264,0.07683162070164751,0.020887325703165472,0.04790495625886362,0.07694305918093278
rad1,0.5228540340596289,1.3932901287936306,0.1900647536006338,1.5002527568671449,3.0461984911008018,3.9197111896519163,4.369066769231671,1.802655712664492,0.3940058205868584,0.1780304415963355,1.828419757267471,1.8352706502958502,0.3082847656788832,0.029880854879639436,1.8829744973312643
2,0.4856582437216236,1.5524359629030757,0.2752959395741573,1.6497603471279063,3.0410328979316246,4.166617950860098,4.163426855186918,1.8277116087865783,0.44371134691941566,0.11384194924513796,1.8688479983090092,2.159120465271553,0.3775046027469025,0.14202450180861037,2.220201956861238
3,0.43223247516618346,1.5273567708560576,0.2303552800433238,1.6039660760477346,3.012142865817342,4.068171556547363,4.264680965681069,1.8350086226534614,0.5210623592666909,0.12546729998901582,1.8933758986909168,2.0938670165290225,0.4656932054765666,0.12876447730981697,2.169017863583073
4,0.42994796952164027,1.439451244001376,0.34663794617410937,1.5417629539201851,2.908986705509783,3.893207641236498,3.939407288738643,1.8571274672796794,0.4799437565447209,0.1843938537931401,1.9078865053806169,2.22587223245912,0.38254412146685046,0.25181614592100554,2.2966970092322545
5,0.42755533467274787,1.3902590903676593,0.36429039683078696,1.4994436954351333,2.8697486993973844,3.8332366465730288,3.6878190207771717,1.8171829035258116,0.4879441869775379,0.20476772014475525,1.874955122606475,2.2810946491657687,0.415869995222492,0.2658104037836323,2.357431394156146
média,0.45964961142836475,1.46055863938436,0.28132886324460227,1.5590371658796207,2.975621931951387,3.97618899697378,4.084880179923095,1.8279372629820045,0.4653334940590447,0.16130025295367695,1.8746970564508978,2.119045002744263,0.3899793381183389,0.16365927674054093,2.185264544232795
desvio-padrão,0.03830189939717832,0.06755151248339766,0.06650072545403134,0.05925316775681663,0.0724469717195106,0.12266621405173245,0.24416381651215002,0.01820404410085265,0.04332565953651334,0.03532400154234626,0.02693067086682467,0.15520309385320438,0.05155156733006582,0.08693545077715353,0.16426957621995572
rnd1,0.47269304311633853,1.4750431677338938,0.4360265482029296,1.609133372479356,2.912458592722816,3.999668206325053,3.538519418195057,2.0099227419029777,0.5278402845466705,0.18541312801906845,2.0631614404431615,2.496246675746954,0.4586663480313004,0.1046969713260211,2.5939494650355672
2,0.4562204502788869,1.517463808856794,0.5405658257329748,1.6742296504342562,2.9372450007618527,3.934905045793185,3.4812398535946674,1.8822614642492637,0.48560520732487994,0.19741021930233085,1.91889253410683,2.4745459148637554,0.47690067075630865,0.03724592615039284,2.5699366509650665
3,0.417087820208508,1.5148953857879621,0.558289781511198,1.6675004527099129,2.938326788916146,4.1603405381136,4.078055633659748,1.9861561596704884,0.5115539417737147,0.2605236551441673,2.0360329880451613,2.3158080694722836,0.4961427276389866,0.07216572529831512,2.3924651132824017
4,0.43493105909342766,1.6244003776331175,0.5937708243920907,1.7833691162846823,2.9722818604744705,4.202946560601897,4.151868509316267,1.9305138198160645,0.5566477988082837,0.27911459830673413,1.9864017063851533,2.3161681232843394,0.5252128580696661,0.09238303694723124,2.393973607617637
5,,,,,,,,,,,,,,,
média,0.4452330931742903,1.532950685002942,0.5321632449597983,1.6835581479770516,2.9400780607188217,4.074465087708433,3.8124208536914344,1.9522135464096986,0.5204118081133873,0.2306154001930752,2.0011221672450765,2.4006921958418332,0.4892306511240655,0.07662291493049009,2.4875812092251683
desvio-padrão,0.02105385453714697,0.05541246249925931,0.05871745392694096,0.06294074007764662,0.021277998688380734,0.11062737073530837,0.3043392015622043,0.04961507878727938,0.025778821434961352,0.03997657245052251,0.05487722970837133,0.08505096147977008,0.02464092661528697,0.025529139592273264,0.09474449774845517
