Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
2065,0,-1.4875,-63.1909,437.363,98656.5,37343.5,546.219,-290.383,525.571,-1.28925e-05,-3.29229,69.7925,386.276,82453.9,37485.4,-428.09,107.957,513.459,-1.46531e-05
2065,1,-1.18232,-64.7168,437.974,99388.9,37465.6,729.324,-290.543,526.929,-1.29166e-05,-3.59747,69.4873,385.665,82453.9,37607.4,-61.8787,107.487,513.796,-1.47241e-05
2065,2,-1.18232,-65.6323,436.753,98656.5,36855.2,180.008,-289.385,525.886,-1.27417e-05,-4.81817,69.1821,385.055,81904.5,37363.3,29.674,107.966,512.709,-1.46517e-05
2065,3,-0.571969,-64.4116,437.974,100304,37587.6,729.324,-290.822,529.019,-1.29587e-05,-3.59747,68.8769,386.886,82270.8,37607.4,-244.984,107.795,512.649,-1.46776e-05
2065,4,0.343559,-61.9702,437.974,99022.7,37343.5,637.772,-290.264,526.093,-1.28746e-05,-4.20782,69.1821,385.665,82087.7,37485.4,-702.748,107.803,512.847,-1.46763e-05
2066,0,-1.18232,-63.1909,437.363,99205.8,37099.4,729.324,-289.825,526.827,-1.28082e-05,-4.81817,68.2666,386.276,82453.9,37973.6,-153.431,106.693,513.459,-1.4844e-05
2066,1,-2.40302,-61.9702,437.363,99205.8,37221.4,637.772,-290.104,526.827,-1.28504e-05,-3.59747,69.1821,385.665,82637,37729.5,-153.431,107.17,514.271,-1.47719e-05
2066,2,-1.18232,-64.4116,436.753,99938.2,36489,454.666,-288.546,528.821,-1.26151e-05,-3.29229,70.0976,387.496,82637,37851.6,-336.537,107.318,513.259,-1.47496e-05
2066,3,0.343559,-65.3271,437.974,100121,37343.5,363.113,-290.264,528.601,-1.28746e-05,-4.81817,69.7925,386.886,82087.7,37485.4,-519.642,108.11,512.175,-1.463e-05
2066,4,-0.266793,-66.5479,437.363,99572,37709.7,637.772,-291.221,527.664,-1.30189e-05,-3.90264,68.8769,387.496,82087.7,37607.4,212.779,107.948,511.841,-1.46545e-05
2067,0,-1.79267,-62.5806,436.753,99205.8,37465.6,271.561,-290.782,527.144,-1.29527e-05,-4.513,69.7925,386.276,81904.5,37607.4,-61.8788,107.641,512.036,-1.47008e-05
2067,1,0.95391,-65.022,437.363,99205.8,37953.9,637.772,-291.779,526.827,-1.31032e-05,-4.81817,67.9614,386.276,82270.8,37607.4,-153.431,107.641,512.985,-1.47008e-05
2067,2,0.648735,-61.9702,436.753,99388.9,37587.6,637.772,-291.062,527.563,-1.29949e-05,-3.90264,69.4873,386.276,82637,37607.4,-61.8787,107.641,513.933,-1.47008e-05
2067,3,0.343559,-61.3599,437.974,99205.8,37465.6,637.772,-290.543,526.511,-1.29166e-05,-4.81817,69.4873,386.886,82637,37729.5,29.6741,107.479,513.595,-1.47253e-05
