,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
rae1,0.4000761195024163,1.4141092354803264,0.3194195485333997,1.5039264208238865,2.734411674225248,3.5859534377859297,3.3843766543067346,1.6245358064254278,0.4839477341266345,0.18152436663829663,1.6566865732828266,2.202507367691229,0.42036894172340916,0.033922732864319606,2.260477837234018
2,0.3919773615049231,1.7358449371114835,0.20660009835719145,1.7915042557217475,2.9368922224946683,3.880251863154735,4.150540934387385,1.7037623569243485,0.5363683556381731,0.30164527204985286,1.7077941206978025,2.2689608209459036,0.4204987904723786,0.05262325321904199,2.3459493421023447
3,0.42396009010654656,1.626274882726652,0.32724684367766754,1.7121923516029771,2.772781136199153,3.7750808339254376,4.240621391496555,1.893028241498491,0.5630824261803048,0.13719161127108015,1.9199050154449286,2.54602927529977,0.4280528825004329,0.15024454051637573,2.606936031051855
4,0.42723953874128273,1.648958825924243,0.3779038520261817,1.7448238175912054,2.7586147313694944,3.7975414925111557,4.497793637985035,1.995100900391651,0.5850222930154416,0.21486981868282462,2.0283797335340203,2.5082646845728136,0.4510959131788374,0.19369672643498984,2.5769890935716973
5,0.3990143883933748,1.6122178856428795,0.3233391790628628,1.6920423214709441,2.7512883275950313,3.8102477721735983,4.897471481062754,2.0561662371736205,0.581020208726019,0.20987903383496886,2.1063700564985646,2.3215288068983364,0.4715793287744568,0.1748060820650567,2.3873589990095776
média,0.40845349964970873,1.6074811533771167,0.31090190433146064,1.6888978334421523,2.790797618376719,3.7698150799101713,4.234160819847693,1.8545187084827077,0.5498882035373146,0.2090220204954046,1.8838270998916287,2.3694581910816104,0.43831917132990295,0.12105866701995675,2.4355422605938988
desvio-padrão,0.01431160410264342,0.10579791852492564,0.05632498705211856,0.09841010056225297,0.07408687326980327,0.09842019230093771,0.4977249136451112,0.16584792758189362,0.03717156250414047,0.05390682072057826,0.17567178260093855,0.13469529696348523,0.02007314927296657,0.0652578951463178,0.13444634705212988
rne1,0.39964238239344707,1.8670227509529564,0.8077444318083011,2.073147137445476,2.879371024229828,3.9825507642471414,3.9673098307960966,2.457671235273968,0.6958661012514603,0.0969690662146214,2.48125749317256,2.6321659055345115,0.5931037189183602,0.3998359385223643,2.7484879556033857
2,0.3983830436337602,1.1657431884042404,0.37671506150543976,1.2882470525216931,3.3245085226366275,3.948031079121142,5.890266924870293,2.010014102959391,0.582920182565829,0.29724895995699224,2.0280570807550693,2.455404720136338,0.5568280883311514,0.25909914921127075,2.5685465812226513
3,0.43161330631987194,1.8012284787779729,1.0182423224488057,2.1136535918118464,2.8757191725331244,4.035794913791895,4.145833589717968,2.2747057193797993,0.6714381729776135,0.3976292998810604,2.358196165458059,2.7951723394271313,0.591844870821453,0.33003285487141876,2.903156726274538
4,0.40156734503591707,1.128327901662369,0.4387686507848303,1.2754991631438026,3.334638335016477,4.098483286131414,5.970547622327012,2.36928323600101,0.6934613661649676,0.048705108723233595,2.440461509789815,2.8968674057849753,0.5993471620759878,0.3816066790566695,3.0086533452923194
5,0.48080893460177776,2.0512175509657027,1.055139893837163,2.3562662983095377,2.7005917459135103,3.9933334643320104,3.4872500086706055,2.6216535056536374,0.5958569753024143,0.12241953903904242,2.6827788424566466,3.262238824809718,0.5826763456868598,0.7593722621041936,3.4317112629815907
média,0.42240300239695483,1.6027079741526484,0.7393220720769079,1.8213626486464711,3.022965760065913,4.011638701524721,4.692241595276395,2.346665559853561,0.647908559652457,0.19259439476299,2.3981502183264296,2.8083698391385346,0.5847600371667625,0.4259893767531834,2.932111174274897
desvio-padrão,0.03170240203726869,0.38115828985993466,0.28426579994296763,0.45102783114032974,0.2585706256850198,0.051677120465807656,1.0339655201817994,0.2034525063277293,0.04870622808290764,0.13248753209688294,0.2136706694939352,0.2718952926789754,0.014947452238709698,0.17369972744464235,0.2905835550733498
rad1,0.4554459642952682,1.5937956968210456,0.2421460060990393,1.6751866874673536,2.8036597279788342,3.690050986482517,4.083512132286812,1.5751155951556761,0.4267410958330085,0.13839571373888424,1.5783251828844342,1.9463238828690534,0.2524008404062694,0.06077413973872374,1.9854510504448084
2,0.4045138994878664,1.509100854151726,0.24653932377579446,1.581707470124667,2.8758317638630304,3.5884335361568245,3.5690028347568403,1.9455114807309704,0.5969496522118712,0.09281723371199388,1.9665629642325335,2.4798621521201802,0.45546511055388667,0.014305874787960433,2.5453963076250754
3,0.45022251080565534,1.664985193103247,0.22767138316579585,1.739744309144833,2.899573848574722,3.694184711290595,3.7832708919146754,1.87989368509483,0.5852162986622444,0.11781347636349275,1.89847133552889,2.4963671522549875,0.39167609496210976,0.04253477091050861,2.5626541097905307
4,0.43845426932357,1.5228171113973665,0.27199931831907964,1.6078550090784705,2.833224685600829,3.513337627142504,2.8798198020174666,1.917454850171241,0.5432954911427036,0.09356502858369055,1.9275954785241793,2.661680758225994,0.38738116521377386,0.006057382511784766,2.719061441953467
5,,,,,,,,,,,,,,,
média,0.43715916097809,1.5726747138683463,0.24708900783992732,1.651123368953831,2.853072506504354,3.62150171526811,3.5789014152439487,1.8294939027881794,0.5380506344624569,0.11064786309951535,1.8427387402925093,2.396058486367554,0.37173080278400994,0.030918041987244387,2.4531407274534702
desvio-padrão,0.01982705656212059,0.062238928053285195,0.015986737745190455,0.0614886825252925,0.037134610830377286,0.07545660164062974,0.44306092769397426,0.148699082131306,0.0672885875961703,0.018914569833886077,0.15455885284467133,0.26921241043871247,0.07398280669017995,0.02191090740039205,0.2783665449386644
rnd1,0.42073436591198055,1.7021853496427155,0.7303513970723507,1.8994382154740344,2.922212639190822,3.722569957206672,3.57013060146025,2.1816861823326814,0.5762134135421998,0.11159621641538951,2.2379355887159407,2.5784021491178333,0.5091347307813703,0.29124779040008353,2.6612270264274893
2,0.4439350493316344,1.6953889524449883,0.8311077076354153,1.9396293588695213,3.115870456015295,3.85184987979238,3.439274568746492,2.2271035213858514,0.5183935666684913,0.35504989807750215,2.270345856317048,2.3998203784279344,0.39696312611063456,0.25496747017971777,2.465499808310365
3,0.44203830054394844,1.7201283937679108,0.6585315357406102,1.894176162282495,3.1701693092594057,3.9667491658225402,3.744759212738372,2.2064183977430742,0.5985456213796126,0.14041321756477046,2.2407295965974994,2.2968676399153147,0.42022185302343407,0.20869995320525025,2.3665548853501726
4,0.4969450163974455,1.7760737246054268,1.0477455538934897,2.121123044582663,2.905648006277621,3.907799386773149,3.199964185192771,2.334279360878667,0.590840568009103,0.1877945419979668,2.380293812105759,2.8227003874113543,0.5382204094401377,0.393558685520298,2.927207108434332
5,,,,,,,,,,,,,,,
média,0.45091318304625216,1.7234441051152602,0.8169340485854665,1.9635916953021786,3.028475102685786,3.8622420973986853,3.488532142034471,2.2373718655850685,0.5709982923998517,0.19871346851390725,2.282326213434062,2.524447638718109,0.46613502983889415,0.2871184748263374,2.6051222071305897
