,Deslocamento_Vertical,Deslocamento_Horizontal,Deslocamento_Antero-Posterior,Deslocamento_Tridimensional,velocidade_média,velocidade_pico,aceleração,força_pico_vertical_normalizada,força_pico_horizontal_normalizada,força_pico_antero-posterior_normalizada,força_pico_tridimensional_normalizada,impulso_vertical_normalizado,impulso_horizontal_normalizado,impulso_antero-posterior_normalizado,impulso_tridimensional_normalizado
rae1,0.348314103382266,1.121164586427979,0.3224303615539684,1.2174950030809306,2.8646941248963076,3.4458132715060596,3.8449840936136352,1.8564017375502466,0.527562156745973,0.1367338827610831,1.9175725918038686,2.443491578839577,0.4856272242240701,0.18003002401354193,2.515898629885234
2,0.3279140810596083,1.1276437489190538,0.21798411036280835,1.1944141414953402,2.777707305803117,3.49107955851561,4.639779427833446,1.5375608443185964,0.5222999676834954,0.1529715954393324,1.6053071423509289,2.488408212693602,0.585947455981668,0.23319735657322302,2.588339376896217
3,0.28439128440108574,1.1068930001440558,0.26480584360563586,1.1731209022172013,2.951247552747676,3.5895248160236912,5.365687763932764,1.512945646120572,0.5679734592975424,0.19139499481177563,1.6020845723381318,2.4474707615674376,0.6701192848579922,0.2730652104212757,2.5762276990588573
4,0.26892042405964844,1.172175218605822,0.32712590296098254,1.246324313322205,2.7094006811352283,3.5219041127122424,5.21260760667693,1.3656875132557669,0.6543562892276347,0.2043743731025393,1.5238302002145252,2.310797720291225,0.6141878755644912,0.30967107702473606,2.4765573738264237
5,0.38181438107645715,1.1437299792220146,0.20502100959985153,1.2230838488612832,2.398203625218202,3.273193380113723,4.648155149795246,1.3695671383668124,0.5422178280226857,0.09339209269373527,1.4675069172558177,3.0177366944280744,0.5474176055877239,0.04161171042825032,3.130750614881913
média,0.32227085479581313,1.1343213066637852,0.2674734456166493,1.210887641795392,2.740250657960106,3.4643030277742652,4.7422428083704045,1.528432575922399,0.5628819401954661,0.15577338776169314,1.6232602847926543,2.541580993563983,0.580659889243189,0.20751507569220543,2.657554738909729
desvio-padrão,0.0413198708481944,0.02232237815270223,0.05086314077079296,0.025083321986346434,0.18939733906175674,0.10637681359464805,0.5356026678716747,0.17866791761789072,0.048404275070279675,0.03973092858258701,0.1559076094345825,0.24547536917612417,0.06211493304481239,0.09345758716571582,0.24006069656555948
rne1,0.3594676491840493,1.239695366592855,0.3525331388935868,1.3380363249104505,3.283524723706627,3.8709105182093255,3.3794529343905797,2.1589406301636456,0.5214838804805894,0.06853756462657326,2.206081258687296,2.6637477325473133,0.4386956619099104,0.21113218332921915,2.727602734064231
2,0.3564379827714874,1.1807410087022419,0.3639984746448399,1.2859596629510448,3.361986046930836,4.148228023876562,2.338378344358176,2.316617467242626,0.44679798414244937,0.13165528444845995,2.3502321242325634,2.6298730994198456,0.3277534069406848,0.182848993545224,2.679433836527461
3,0.3655859465175877,1.3343233763147166,0.33469019046811543,1.4234077000166359,3.044722352976761,3.691791432728959,2.7794141785050557,2.2527561668694633,0.4666681194050474,0.12514269781490253,2.2545882126397587,3.2281788926788613,0.42077322022417407,0.2915169666985348,3.305189239266743
4,0.3568239224951887,1.3140453921380957,0.41757264029373564,1.4242210201320915,2.862755819360988,3.649189949243481,2.5724861202617557,1.7505857204681916,0.48789508215607114,0.061790511477080555,1.7565980024852563,3.4974001369045653,0.35740321087267746,0.10502585580745535,3.576869573947828
5,,,,,,,,,,,,,,,
média,0.3595788752420782,1.2672012859369772,0.36719861107506946,1.3679061770025558,3.138247235743803,3.840029981014582,2.7674328943788917,2.1197249961859814,0.48071126654603935,0.09678151459175406,2.141874899511219,3.004799965387646,0.3861563749868617,0.19763099984510832,3.0722738459515657
desvio-padrão,0.003658970029067054,0.06109766861536482,0.03090168756540487,0.058862593900509956,0.19736199503537522,0.19642697506046258,0.38626549553945944,0.22037786206759394,0.027664661387698183,0.03179083022839374,0.2284063090145469,0.37062105123902694,0.045266858096587745,0.06669159830885482,0.38144064988187343
rad1,0.2580541118247415,1.0107910788809251,0.15343837546492922,1.054435329852067,2.7566936728158615,3.395584335464319,4.488537564758923,1.6661618863582286,0.6551267514554121,0.06817309999317801,1.7539067472940189,2.767627646795732,0.6812842818604492,0.039389621874917236,2.88064503560041
2,0.3261511592417665,1.0822897633127853,0.1763067689840157,1.144032249211523,2.676098828564966,3.3846578748598586,3.8335342957282923,1.6605231753695502,0.6001048667220119,0.10201721065160277,1.7523847206128955,2.733310031508405,0.5552221400978563,0.055845674133413716,2.8227944385238675
3,0.23232661116935982,1.0238568037887867,0.19272852214225256,1.067428073534309,2.320495812031106,3.21388752738287,4.01017769907139,1.705219036517941,0.7060188328478572,0.12851779258930038,1.8384833331256938,3.237767650751219,0.6417931171464883,0.12716465791082607,3.362866610521327
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
média,0.2721772940786226,1.038979215327499,0.1741578888637325,1.0886318841992997,2.584429437803978,3.331376579235682,4.110749853186202,1.6773013660819067,0.6537501503417604,0.09956936774469372,1.7815916003442027,2.9129017763517857,0.6260998463682647,0.07413331797305234,3.022102028215201
desvio-padrão,0.03958416908293934,0.031086234541259722,0.016111945274855478,0.03953144891276473,0.1895074340497267,0.08319697456153823,0.2766988606742877,0.019874539949975043,0.04325015089065204,0.02469634834414196,0.04023332851807443,0.23014169829583056,0.0526474118213612,0.03809586745462363,0.2421116110546667
rnd1,0.388647252158438,2.072659634719069,0.5000643624483591,2.167263023860965,3.3863484747827575,4.0775089254608305,2.9499742845564083,2.2165480042694496,0.41254675265930524,0.10805778768046774,2.233623162517061,2.303853328824539,0.1812788344396253,0.3210138945678275,2.361475187442633
2,0.3320576110328789,1.52156557167288,0.41446702998405155,1.6115852335166394,3.5615143282135677,4.057997209985858,1.3226584373523749,2.509112382787345,0.4307677531698889,0.04305306838506158,2.5266115740562802,2.3050984143555677,0.19012135209236178,0.33851885902975865,2.3703610217364126
3,0.40035553779577615,1.3453216165954145,0.3695856477993583,1.4514711019451665,3.561892274712065,4.100312948490954,2.6870574443013893,2.871797415887788,0.4121361336360046,0.031441887292247,2.8775993187114213,2.592653505281486,0.09608243563080422,0.29275902278601007,2.646261993170367
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
média,0.373686800329031,1.6465156076624545,0.4280390134105896,1.7434397864409237,3.5032516925694637,4.078606361312548,2.3198967220700575,2.532485934314861,0.4184835464883996,0.06085091445259211,2.5459446850949212,2.400535082820531,0.15582754072093044,0.3174305921278654,2.4593660674498037
desvio-padrão,0.029821838074723297,0.30980050760918,0.05412530396965612,0.30673412614741263,0.0826632020411881,0.017292748102299676,0.713276226811848,0.2680145394561046,0.008687863271665609,0.033715194809433476,0.2632573510509442,0.13584919027156397,0.04240012355549928,0.018852421516361413,0.13220515572645342
