Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1303,0,5.55492,-58.6169,294.974,69035.4,30138.1,4993.46,-307.172,534.039,-1.54275e-05,-0.499622,46.0085,238.577,58282.7,19617.8,-5999.98,122.772,544.293,-1.24161e-05
1303,1,6.16527,-59.8376,296.805,68486.1,29893.9,4352.59,-305.719,530.744,-1.52081e-05,-2.0255,45.3981,239.797,59015.1,19617.8,-6091.53,123.19,546.104,-1.23529e-05
1303,2,5.55492,-60.1428,296.805,70317.2,30260.1,4993.46,-306.953,536.913,-1.53944e-05,-0.804799,45.3981,242.239,59381.3,20350.2,-6366.19,120.991,545.136,-1.2685e-05
1303,3,6.47045,-58.9221,298.026,69401.6,30138.1,4901.91,-306.126,532.871,-1.52695e-05,0.415904,46.6188,245.29,59564.4,19984,-6549.29,123.529,542.832,-1.23017e-05
1303,4,4.33422,-58.9221,298.026,69767.8,30504.3,5268.12,-307.354,534.1,-1.54551e-05,-0.8048,46.924,249.563,61029.3,20960.5,-6366.19,121.011,544.545,-1.2682e-05
1304,0,5.8601,-62.279,300.468,69401.6,30260.1,4993.46,-305.71,530.979,-1.52068e-05,0.110728,48.4499,248.953,60846.2,20716.4,-5999.98,121.786,544.409,-1.2565e-05
1304,1,6.16527,-60.7532,301.688,69584.7,30748.4,5359.67,-306.921,530.651,-1.53897e-05,0.415903,49.6706,253.225,61944.8,21204.7,-6457.74,121.262,544.624,-1.26442e-05
1304,2,4.02904,-63.8049,304.13,70134,30992.6,5451.23,-306.906,530.606,-1.53873e-05,0.110727,49.6706,253.835,61761.7,20960.5,-6823.95,122.425,543.314,-1.24685e-05
1304,3,4.33422,-63.4997,306.571,70683.4,30870.5,5359.67,-305.696,530.561,-1.52047e-05,0.110726,50.2809,258.108,62677.2,21448.8,-6549.29,121.9,542.833,-1.25478e-05
1304,4,5.24975,-62.279,304.74,72148.2,31480.9,5542.78,-308.304,536.753,-1.55985e-05,0.415902,49.9757,259.939,63226.6,21082.6,-6640.84,123.894,543.236,-1.22467e-05
1305,0,4.02904,-62.5842,304.74,70866.5,30748.4,5542.78,-305.901,532.547,-1.52356e-05,-0.499626,50.8913,262.38,64142.1,21693,-6549.29,122.322,544.462,-1.2484e-05
1305,1,4.02904,-65.3308,305.35,71782,31602.9,5451.23,-308.497,535.081,-1.56277e-05,-1.10998,51.8068,263.601,64325.2,21570.9,-6732.4,123.168,544.025,-1.23562e-05
1305,2,3.72387,-64.4153,304.74,71232.7,31480.9,5634.33,-308.304,533.749,-1.55985e-05,0.110725,52.112,267.874,65790,22059.2,-6732.4,122.651,545.601,-1.24344e-05
1305,3,3.41869,-64.1101,307.181,72148.2,31847.1,5817.44,-308.675,534.872,-1.56545e-05,0.721076,52.112,269.094,65790,22181.2,-6732.4,122.571,544.487,-1.24465e-05
1305,4,4.63939,-64.7204,307.181,71782,31725,5817.44,-308.278,533.68,-1.55945e-05,-0.804803,55.1637,273.367,66888.6,22547.4,-6732.4,122.519,544.685,-1.24542e-05
1306,0,4.33422,-66.2463,309.013,72331.3,32091.2,5725.88,-308.851,534.072,-1.5681e-05,-0.499628,53.943,275.198,66705.6,22669.5,-6640.84,122.625,542.391,-1.24383e-05
1306,1,4.02904,-65.3308,310.844,72148.2,32213.3,6092.09,-308.632,532.105,-1.5648e-05,-0.194453,54.5534,278.249,67804.2,23157.8,-6915.5,121.773,543.681,-1.25669e-05
1306,2,4.33422,-65.9411,311.454,72514.4,32335.3,6183.65,-308.821,532.826,-1.56765e-05,-0.194452,55.1637,277.029,67987.3,23157.8,-7007.05,121.407,545.416,-1.26223e-05
1306,3,5.24974,-65.636,311.454,72697.5,32335.3,5725.88,-308.821,533.413,-1.56765e-05,-0.194453,55.4689,284.353,69635.3,23401.9,-7007.05,122.701,544.89,-1.24268e-05
1306,4,1.89281,-65.636,313.895,73063.7,32213.3,6092.09,-307.624,532.765,-1.54958e-05,-0.499629,56.0793,284.353,69269,23890.2,-6732.4,120.984,543.602,-1.26861e-05
1307,0,4.63939,-68.6877,313.895,73246.9,32213.3,6366.75,-307.624,533.348,-1.54958e-05,-1.41516,56.3844,289.236,70184.5,24012.3,-6732.4,121.98,542.655,-1.25356e-05
